,Code_Display,Description,Unit_or_type,Data_type,Experiment 1,,,,,,,,,,,Experiment 2,,,,,,,,,,,,,,,,,,
Metadata,EXNAME,Name of experiment,text,text,UFGA8201.MZX,,,,,,,,,,,ITHY8001.SGX,,,,,,,,,,,,,,,,,,
Metadata,EID,Experiment identifier,number,single,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Metadata,LOCAL_NAME,Locally used name for experiment,text,text,"Gainesville, FL",,,,,,,,,,,"Patancheru, India",,,,,,,,,,,,,,,,,,
Metadata,LOCAL_ID,Code for local name,code,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,FL_NAME,Field name,text,text,Irrigation Park,,,,,,,,,,,ICRISAT,,,,,,,,,,,,,,,,,,
Metadata,ID_FIELD,"Field, identifier usually consisting of institution+site+number",text,text,UFGA0002,,,,,,,,,,,ITHY0001,,,,,,,,,,,,,,,,,,
Metadata,FL_LOC_1,Field location - country,text,3-char,USA,,,,,,,,,,,IND,,,,,,,,,,,,,,,,,,
Metadata,FL_LOC_2,"Field location - sub-country (state, province)",text,3-char,FLA,,,,,,,,,,,APR,,,,,,,,,,,,,,,,,,
Metadata,FL_LOC_3,"Field location - sub-sub-country (county, shire, parrish)",text,3-char,Gainesville,,,,,,,,,,,Patancheru,,,,,,,,,,,,,,,,,,
Metadata,FL_LAT,Field latitude,degree angle,single,29.63,,,,,,,,,,,17.53,,,,,,,,,,,,,,,,,,
Metadata,FL_LONG,"Field longitude, E positive,W negative",degree angle,single,-82.37,,,,,,,,,,,78.27,,,,,,,,,,,,,,,,,,
Metadata,FLELE,Elevation of field site,m,single,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,SLTX,Soil texture,code,text,LS,,,,,,,,,,,SL,,,,,,,,,,,,,,,,,,
Metadata,SL_SOURCE,Source of soil data,text,text,SCS,,,,,,,,,,,SCS,,,,,,,,,,,,,,,,,,
Metadata,SOIL_ID,Soil profile identifier,text,text,IBMZ910014,,,,,,,,,,,IBSG910085,,,,,,,,,,,,,,,,,,
Metadata,WSTA_INSI,Institute and site code,code,text,UFGA,,,,,,,,,,,ITHY,,,,,,,,,,,,,,,,,,
Metadata,WSTA_NAME,Weather station name,text,text,"Gainesville, FL",,,,,,,,,,,Hyderabad India,,,,,,,,,,,,,,,,,,
Metadata,WSTA_LAT,"Latitude of station, degrees decimal with North as positive value",degree angle,single,29.63,,,,,,,,,,,17.53,,,,,,,,,,,,,,,,,,
Metadata,WSTA_LONG,"Longitude of station, degrees decimals with East as positive value",degree angle,single,-82.37,,,,,,,,,,,78.27,,,,,,,,,,,,,,,,,,
Metadata,WSTA_SOURCE,Source of weather information,text,text,Measured,,,,,,,,,,,Measured,,,,,,,,,,,,,,,,,,
Metadata,WSTA_DIST,Distance of weather station from field,km,single,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Metadata,CR,Crop (or weed) species identifier,code,text,MZ,,,,,,,,,,,SG,,,,,,,,,,,,,,,,,,
Metadata,CUL_ID,"Cultivar, line or genotype identifier",code,text,IB0035,,,,,,,,,,,IB0026,,,,,,,,,,,,,,,,,,
Metadata,CR_SYSTEM,"Cropping system (dry land, irrigated, first crop, etc.)",text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,IRRIG,Indicates whether or not the field was irrigated,code,text,N,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
Metadata,FERTILIZER,Indicates whether or not fertilizer was applied (Y or N),code,text,P,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
Metadata,PDATE,Planting date,date,single,2/25/82,,,,,,,,,,,6/13/80,,,,,,,,,,,,,,,,,,
Metadata,HDATE,"Growth stage date, harvest",date,single,7/4/82,,,,,,,,,,,10/4/80,,,,,,,,,,,,,,,,,,
Metadata,TI_PRACTICE,"Tillage practice, code",code,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,INSTITUTES,Names of participating institutes,text,memo,University of Florida,,,,,,,,,,,ICRISAT,,,,,,,,,,,,,,,,,,
Metadata,PEOPLE,Names of researchers who conducted the experiment(s),text,memo," BENNET,J.M. ZUR,B. HAMMOND,L.C. JONES,J.W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,MAIN_FACTOR,"Main factor, factors or interactions of interest in an experiment",text,text,NxW,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
Metadata,AGMIP_RATING,"AgMIP sentinel site rating (gold, silver, etc.)",code,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,AGMIP_RATER,Initials of person assigning AgMIP rating,text,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,AGMIP_DATE,Date of AgMIP rating,date,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,DISTRIBUTION,Distribution limitations for the data set,text,memo,None,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,USER_ID,id of user who uploaded data (typically email address),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,DATA_SOURCE,"Source of uploaded data (DSSAT, APSIM, CIMMYT, etc)",code,text,DSSAT,,,,,,,,,,,DSSAT,,,,,,,,,,,,,,,,,,
Metadata,MODEL_VER,Crop model version related to data upload,text,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadata,NUM_YEARS,Number of years crop experiment was run,number,integer,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Metadata,EXP_FACTORS,JSON string of expeimental factors associated with this experiment,codes,text,N; W,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,ICPCR,"Residue, crop code for previous crop",code,text,MZ,,,,,,,,,,,SG,,,,,,,,,,,,,,,,,,
CropMgmt,HARM,Harvest method,code,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,HACOM,"Harvest operations, crop component harvested",code,text,H,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,
CropMgmt,PLPOE,Plant population at emergence,number/m2,single,7.2,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,
CropMgmt,PLRS,Row spacing,cm,single,61,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,
CropMgmt,PAREA,Plot area (gross) per rep,m2,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,FEN_TOT,Total N applied for crop season,kg[N]/ha,single,116,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
CropMgmt,NI#M,N applications,number,single,3,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,FDATE,Fertilization date,date,single,FDATE,FEACD,FECD,FEDEP,FEAMN,FEAMP,FEAMK,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,FEACD,Fertilizer application method,code,text,4/7/82,AP001,FE001,10,27,0,0,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,FECD,Fertilizer material,code,text,4/12/82,AP001,FE001,10,35,0,0,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,FEDEP,Fertilizer application depth,cm,single,5/17/82,AP001,FE001,10,54,0,0,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,FEAMN,N in applied fertilizer,kg/ha,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,FEAMP,Phosphorus in applied fertilizer,kg/ha,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CropMgmt,FEAMK,Fertilizer K applied,kg/ha,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,HWAH,Harvested yield at harvest (dry wt),kg/ha,single,2929,,,,,,,,,,,5230,,,,,,,,,,,,,,,,,,
Observed,HWAHS,"Harvest yield at harvest, standard deviation",kg/ha,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,HYAH,Harvested yield at harvest (fresh wt),Mg/ha,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,HYAHS,Standard deviation of harvested yield at harvest (fresh wt),Mg/ha,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,HMAH,Mean moisture fraction of harvest product at harvest,kg[water]/kg[harvest],single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,HMAHS,Standard deviation of harvest moisture fraction,kg[water]/kg[harvest],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,MDAP,"Growth stage of physiol. maturity, as days after planting",dap,single,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,R8APS,Standard deviation of harvest maturity DAP,dap,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,ADAP,"Growth stage as days after planting, anthesis",dap,integer,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,ADAPS,Standard deviation of anthesis DAP,dap,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,CHTD,Canopy height,m,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,CHTDS,Standard deviation of canopy height observations,m,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,CWAM,Tops dry weight at maturity,kg/ha,single,5532,,,,,,,,,,,10770,,,,,,,,,,,,,,,,,,
Observed,CWAMS,"Standard deviation of tops weight, maturity",kg/ha,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,E#AD,Ear number,number/m2,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,ETCM,"Evapotranspiration, cumulative to end of season",mm,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observed,PRCM,"Rainfall, season",mm,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoilProfile,SOIL_ID,Soil profile identifier,text,text,IBMZ910014,,,,,,,,,,,IBSG910085,,,,,,,,,,,,,,,,,,
SoilProfile,SL_SYSTEM,"Soil classification system (e.g., FAO, USDA)",text,text,SCS,,,,,,,,,,,SCS,,,,,,,,,,,,,,,,,,
SoilProfile,CLASSIFCATION,Soil classification,text,text,LS,,,,,,,,,,,SL,,,,,,,,,,,,,,,,,,
SoilProfile,SLOPE,Slope where soil profile characterised,degree angle,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoilProfile,NAME,Name of soil profile,text,text,Millhopper Fine Sand,,,,,,,,,,,Patencheru,,,,,,,,,,,,,,,,,,
SoilProfile,SITE,Name and location of site for soil profile,text,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoilProfile,SOILELEV,Elevation of soil profile site,number,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoilProfile,SSCOL,Soil color at surface,code,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoilProfile,SALB,Soil_albedo,unitless,single,0.18,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,
SoilProfile,SLDR,Drainage rate as fraction per day,1/d,single,0.65,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,
SoilProfile,SOILLAT,Latitude of soil profile site,degree angle,single,29.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoilProfile,SOILLONG,Longitude of soil profile site,degree angle,single,-82.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoilProfile,SLNF,Mineralization factor (0 to 1 scale),number,single,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoilLayer,SLLB,Soil layer base depth,cm,single,SLLB,CLAY,SILT,SLOC,SLPHW,SLBDM,SSKS,SLLL,SLDUL,SLSAT,,SLLB,CLAY,SILT,SLCF,SLOC,SLPHW,SLBDM,SLLL,SLDUL,SLSAT,,,,,,,,,
SoilLayer,CLAY,"Soil texture, clay (<0.002 mm)",%,single,5,0.9,11.8,2,5.3,1.36,7.4,0.02,0.086,0.23,,5,10,30,0,0.7,6.5,1.61,0.052,0.176,0.359,,,,,,,,,
